TrialNumber,ApplicationNumber,FilingDate,PatentNumber
IPR2016-01600,12581054,2016-08-11,7834605
IPR2016-01590,09608161,2016-08-11,6212079
IPR2016-01592,09608161,2016-08-11,6212079
IPR2016-01597,10167557,2016-08-11,6538908
PGR2016-00031,14921212,2016-08-12,9315282
IPR2016-01603,13603578,2016-08-12,8581710
IPR2016-01602,09492930,2016-08-12,6249516
IPR2016-01561,09251352,2016-08-12,6233181
IPR2016-01614,09564288,2016-08-15,7820161
IPR2016-01622,10187763,2016-08-16,6850414
IPR2016-01623,11439443,2016-08-16,7315454
IPR2016-01621,09900626,2016-08-16,6438057
IPR2016-01631,11772547,2016-08-17,8122102
IPR2016-01585,13911813,2016-08-18,8904516
IPR2016-01638,13775754,2016-08-19,9282396
IPR2016-01633,11078239,2016-08-19,6980101
IPR2016-01649,12082920,2016-08-19,8813269
IPR2016-01650,13838638,2016-08-19,8938818
IPR2016-01643,09949300,2016-08-19,6775745
IPR2016-01639,13775754,2016-08-19,9282396
IPR2016-01647,10256799,2016-08-19,6758600
IPR2016-01646,13153197,2016-08-19,8528118
IPR2016-01652,09443724,2016-08-19,6276930
IPR2016-01648,10805892,2016-08-19,6869227
IPR2016-01661,14483558,2016-08-21,9055416
IPR2016-01662,14483558,2016-08-21,9055416
IPR2016-01659,14483701,2016-08-21,9049574
IPR2016-01660,14483701,2016-08-21,9049574
IPR2016-01656,12800152,2016-08-22,8122141
IPR2016-01658,13385375,2016-08-23,8364839
IPR2016-01670,13556729,2016-08-24,9039718
IPR2016-01679,10869133,2016-08-25,7146202
IPR2016-01669,10872289,2016-08-25,7552124
IPR2016-01680,11538340,2016-08-25,8187433
IPR2016-01612,13461432,2016-08-26,8454187
IPR2016-01688,14678815,2016-08-29,9300792
IPR2016-01692,14244376,2016-08-30,9326548
IPR2016-01709,12323423,2016-08-31,8184938
IPR2016-01697,14019162,2016-08-31,9044226
IPR2016-01698,14084288,2016-08-31,8926663
IPR2016-01704,13360334,2016-08-31,8565256
IPR2016-01701,14168201,2016-08-31,9094802
IPR2016-01703,12323415,2016-08-31,8452148
IPR2016-01613,13836026,2016-09-01,9044056
IPR2016-01380,14928980,2016-09-02,9303501
IPR2016-01713,10415704,2016-09-02,7743864
IPR2016-01733,11467092,2016-09-02,9189437
IPR2016-01720,13214163,2016-09-02,8527407
IPR2016-01617,13240668,2016-09-02,8936379
IPR2016-01610,13112650,2016-09-02,8454186
IPR2016-01721,13214163,2016-09-02,8527407
IPR2016-01615,13240668,2016-09-02,8936379
IPR2016-01722,13691312,2016-09-02,8744963
IPR2016-01744,12068102,2016-09-06,7941822
IPR2016-01671,11553426,2016-09-06,7415530
IPR2016-01711,09534321,2016-09-06,6820133
IPR2016-01672,14303276,2016-09-06,9116908
IPR2016-01749,09798331,2016-09-07,6757913
IPR2016-01731,11428704,2016-09-07,8091547
IPR2016-01735,13908952,2016-09-07,9265902
IPR2016-01719,09564508,2016-09-07,6398197
IPR2016-01725,10246328,2016-09-07,7111624
IPR2016-01717,13311433,2016-09-07,8550072
IPR2016-01727,10246328,2016-09-07,7111624
IPR2016-01724,11572822,2016-09-07,8453641
IPR2016-01729,11428704,2016-09-07,8091547
IPR2016-01730,11428704,2016-09-07,8091547
IPR2016-01716,13311433,2016-09-07,8550072
IPR2016-01756,12907550,2016-09-07,8571194
IPR2016-01760,14295981,2016-09-08,9094268
IPR2016-01738,13118122,2016-09-09,8880862
IPR2016-01739,13118122,2016-09-09,8880862
IPR2016-01737,13118122,2016-09-09,8880862
IPR2016-01763,14060407,2016-09-09,8944337
IPR2016-01771,11763263,2016-09-09,7622115
IPR2016-01770,10492018,2016-09-09,7708553
IPR2016-01616,13240668,2016-09-13,8936379
IPR2016-01822,13806834,2016-09-15,9059532
IPR2016-01794,11930330,2016-09-15,9043093
IPR2016-01790,11930330,2016-09-15,9043093
IPR2016-01831,13098335,2016-09-16,9131803
IPR2016-01836,10010715,2016-09-16,7009034
IPR2016-01837,12269752,2016-09-16,7807799
IPR2016-01845,13401527,2016-09-19,8237134
IPR2016-01850,12527261,2016-09-20,8544563
IPR2016-01865,14059220,2016-09-20,9125051
IPR2016-01861,14059220,2016-09-20,9125051
